desc,address,city,province,postal_code
600301624,Certs Test 4,RR 6 SUCC BUREAU-CHEF,SAINT-JEAN-CHRYSOSTOME,QC,6Z2L1
600301634,Certs Test 4,RR 91 SUCC LEVIS,LEVIS,QC,6V6N4
600301644,Certs Test 4,SS 2 STN MAIN,BRACEBRIDGE,ON,1L1X9
600301654,Certs Test 4,RR 3 SUCC BUREAU-CHEF,NICOLET,QC,3T1T7
600301664,Certs Test 4,SS 5 STN MAIN,TABER,AB,1G0A1
600301674,Certs Test 4,RR 2 STN MAIN,BOWMANVILLE,ON,1C3K3
600301684,Certs Test 4,RR 4 STN MAIN,OLDS,AB,4H1T8
600301694,Certs Test 4,RR 1 STN MAIN,OWEN SOUND,ON,4K5N3
600301704,Certs Test 4,SS 2 STN MAIN,MEADOW LAKE,SK,9X1T8
600301714,Certs Test 4,RR 6 STN GALT,CAMBRIDGE,ON,1R5S7
600301724,Certs Test 4,RR 4 STN MAIN,HUNTSVILLE,ON,1H2J6
600301734,Certs Test 4,RR 3 STN MAIN,PORTAGE LA PRAIRIE,MB,1N3A3
600301744,Certs Test 4,SS 4 STN MAIN,ROCKLAND,ON,4K1K9
600301754,Certs Test 4,RR 1 STN MAIN,FORT SASKATCHEWAN,AB,8L2N7
600301764,Certs Test 4,SS 77 SUCC BUREAU-CHEF,REPENTIGNY,QC,6A5H5
600301774,Certs Test 4,RR 3 STN MAIN,BARRHEAD,AB,7N1N4
600301784,Certs Test 4,RR 3 STN MAIN,GRANDE PRAIRIE,AB,8V5N3
600301794,Certs Test 4,RR 2 STN MAIN,BROCKVILLE,ON,6V5T2
600301804,Certs Test 4,SS 103 SUCC BUREAU-CHEF,CHAMBLY,QC,3L4A7
600301814,Certs Test 4,RR 6 STN MAIN,TILLSONBURG,ON,4G4G9
600301824,Certs Test 4,RR 7 LCD ROYAL CITY MAIL,GUELPH,ON,1H6J4
600301834,Certs Test 4,RR 1 STN MAIN,GEORGETOWN,ON,7G4S4
600301844,Certs Test 4,RR 5 LCD MAIN,SASKATOON,SK,7K3J8
600301854,Certs Test 4,RR 3 SUCC BUREAU-CHEF,SAINTE-JULIE,QC,3E1Y2
600301864,Certs Test 4,RR 2 STN TECUMSEH,WINDSOR,ON,8N2M1
600301874,Certs Test 4,RR 1 STN MAIN,KESWICK,ON,4P3C8
600301884,Certs Test 4,SS 103 SUCC BUREAU-CHEF,GRANBY,QC,2H0R2
600301894,Certs Test 4,RR 66 LCD S,OTTAWA,ON,1T3Z4
600301904,Certs Test 4,RR 7 LCD 1,CALGARY,AB,2P2G7
600301914,Certs Test 4,RR 14 STN P,THUNDER BAY,ON,7B5E5
600301924,Certs Test 4,RR 2 STN MAIN,PONOKA,AB,4J1R2
600301934,Certs Test 4,RR 6 STN MAIN,ST THOMAS,ON,5P3T1
600301944,Certs Test 4,RR 1 STN MAIN,CLARENVILLE,NL,5A3A1
600301954,Certs Test 4,RR 2 STN MAIN,NEW GLASGOW,NS,2H5C5
600301964,Certs Test 4,RR 1 STN MAIN,KENTVILLE,NS,4N3V7
600301974,Certs Test 4,RR 5 STN MAIN,YARMOUTH,NS,5A4A9
600301984,Certs Test 4,RR 2 STN MAIN,SUMMERSIDE,PE,1N4J8
600301994,Certs Test 4,RR 1 SUCC BUREAU-CHEF,MATANE,QC,4W3M7
600302010,Certs Test 4,PO BOX 9434 STN PROV GOVT,VICTORIA,BC,8W9V3
600302020,Certs Test 4,PO BOX 6249 STN J,OTTAWA,ON,2A1T3
600302030,Certs Test 4,PO BOX 45019 RPO BRENTWOOD,CALGARY,AB,2L1Y4
600302040,Certs Test 4,CP 50034 CSP PLACE MT-MARIE,LEVIS,QC,6V8T2
600302050,Certs Test 4,PO BOX 258 STN MAIN,GRAVENHURST,ON,1P1T6
600302060,Certs Test 4,PO BOX 4030 STN DEL CTR,ABBOTSFORD,BC,2S4P4
600302070,Certs Test 4,PO BOX 805 STN LCD 1,HAMILTON,ON,8N3M8
600302080,Certs Test 4,PO BOX 67908 STN BRM B,TORONTO,ON,7Y4N1
600302090,Certs Test 4,PO BOX 22 STN MAIN,AURORA,ON,4G3H1
600302100,Certs Test 4,PO BOX 14 STN MAIN,BOWMANVILLE,ON,1C3K8
600302110,Certs Test 4,PO BOX 2026 STN MAIN,ROTHESAY,NB,2E5C1
600302120,Certs Test 4,CP 4076 SUCC BUREAU-CHEF,PONT-ROUGE,QC,3H3R4
600302130,Certs Test 4,CP 2013 SUCC BUREAU-CHEF,BAIE-COMEAU,QC,5C2S8
600302140,Certs Test 4,PO BOX 171 STN MAIN,GREELY,ON,4P1N5
600302150,Certs Test 4,CP 636 SUCC BUREAU-CHEF,THETFORD MINES,QC,6G5T6
600302160,Certs Test 4,PO BOX 46046 RPO BEACON HILL,GLOUCESTER,ON,1J9M7
600302170,Certs Test 4,PO BOX 5697 STN MAIN,LACOMBE,AB,4L1X3
600302180,Certs Test 4,PO BOX 9002 STN C,KITCHENER,ON,2G4J3
600302190,Certs Test 4,PO BOX 2016 STN MAIN,WHITECOURT,AB,7S1P7
600302200,Certs Test 4,PO BOX 1349 STN LCD MALTON,MISSISSAUGA,ON,4T4C2
600302210,Certs Test 4,CP 1282 SUCC BUREAU-CHEF,SOREL-TRACY,QC,3P7L5
600302220,Certs Test 4,PO BOX 22027 RPO PARKLAND,YORKTON,SK,3N4B2
600302230,Certs Test 4,PO BOX 2874 STN M,CALGARY,AB,2P3C3
600302240,Certs Test 4,PO BOX 37024 RPO SOUTHDALE,LONDON,ON,6E3T3
600302250,Certs Test 4,PO BOX 75637 RPO BROADVIEW,TORONTO,ON,4M3M5
600302260,Certs Test 4,PO BOX 6880 STN MAIN,WETASKIWIN,AB,9A2G5
600302270,Certs Test 4,PO BOX 829 STN MAIN,GRAND FALLS-WINDSOR,NL,2A2P7
600302280,Certs Test 4,PO BOX 5554 STN MAIN,LACOMBE,AB,4L1X2
600302290,Certs Test 4,PO BOX 990 STN MAIN,KIRKLAND LAKE,ON,2N3L1
600302300,Certs Test 4,PO BOX 20003 RPO SOUTHBROOK,MAPLE,ON,6A4M4
600302310,Certs Test 4,PO BOX 315 STN MAIN,ACTON,ON,7J2M4
600302320,Certs Test 4,PO BOX 1789 STN MAIN,SASKATOON,SK,7K3S1
600302330,Certs Test 4,PO BOX 97103 LCD 2,MISSISSAUGA,ON,4Y0A6
600302340,Certs Test 4,PO BOX 889 STN MAIN,KINGSTON,ON,7L4X8
600302350,Certs Test 4,PO BOX 3052 STN MAIN,ST CATHARINES,ON,2R7E3
600302360,Certs Test 4,PO BOX 590 STN MAIN,KINGSTON,ON,7L4X1
600302370,Certs Test 4,PO BOX 3606 STN MAIN,WAINWRIGHT,AB,9W1T5
600302380,Certs Test 4,PO BOX 833 STN DON MILLS,NORTH YORK,ON,3C4G5
600302390,Certs Test 4,PO BOX 259 STN MAIN,PORT MOODY,BC,3H3E1
600302400,Certs Test 4,PO BOX 2058 STN MAIN,COLD LAKE,AB,9M1P5
600302410,Certs Test 4,PO BOX 2589 STN CENTRAL,CHARLOTTETOWN,PE,1A8C3
600302420,Certs Test 4,PO BOX 4489 STN A,TORONTO,ON,5W1V9
600302430,Certs Test 4,PO BOX 841 STN WATERLOO,WATERLOO,ON,2J4C3
600302440,Certs Test 4,PO BOX 41 STN MAIN,THOROLD,ON,2V3Y7
600302450,Certs Test 4,PO BOX 294 STN MAIN,EDMUNDSTON,NB,3V3K9
600302460,Certs Test 4,PO BOX 1095 STN TORONTO DOM,TORONTO,ON,5K1P2
600302470,Certs Test 4,PO BOX 4823 STN TERMINAL,VANCOUVER,BC,6B4A4
600302480,Certs Test 4,PO BOX 730 STN MAIN,GOULDS,NL,1S1G7
600302490,Certs Test 4,PO BOX 1004 STN MAIN,INGERSOLL,ON,5C3V6
600302500,Certs Test 4,PO BOX 2994 STN MAIN,WAINWRIGHT,AB,9W1S9
600302510,Certs Test 4,PO BOX 5314 STN MAIN,EDSON,AB,7E1T5
600302520,Certs Test 4,PO BOX 582 STN LAMBETH,LONDON,ON,6P1R2
600302530,Certs Test 4,PO BOX 9274 STN PROV GOVT,VICTORIA,BC,8W9J6
600302540,Certs Test 4,CP 37 SUCC BUREAU-CHEF,VICTORIAVILLE,QC,6P6S4
600302550,Certs Test 4,PO BOX 645 STN A,NANAIMO,BC,9R5L9
600302560,Certs Test 4,PO BOX 3112 STN MAIN,WALLACEBURG,ON,8A9R4
600302570,Certs Test 4,PO BOX 94078 RPO BEDFORD PARK,TORONTO,ON,4N3R1
600302580,Certs Test 4,PO BOX 950 STN MAIN,MORDEN,MB,6M1A8
600302590,Certs Test 4,PO BOX 294 STN TORONTO DOM,TORONTO,ON,5K1K2
600302600,Certs Test 4,PO BOX 1340 STN A,COMOX,BC,9M7Z8
600302610,Certs Test 4,PO BOX 4611 STN A,TORONTO,ON,5W1V9
600302620,Certs Test 4,PO BOX 34526 RPO PEMBERTON PLAZA,NORTH VANCOUVER,BC,7P3N8
600305615,Certs Test 4,404 EMERALD ST,KINGSTON,ON,7P3E3
600305625,Certs Test 4,3262 STONEY RIDGE,NANAIMO,BC,9T5V2
600305635,Certs Test 4,12662 WESTON RD,KING CITY,ON,7B1K4
600305645,Certs Test 4,104 GREAT LAKES DR,BRAMPTON,ON,6R2K7
600305655,Certs Test 4,44 DOUGLASBANK WAY SE,CALGARY,AB,2Z1W7
600305665,Certs Test 4,59 RUE DU NORDET,BAIE-SAINT-PAUL,QC,3Z3C2
600305675,Certs Test 4,95 CH DES GAUDET,L'ETANG-DU-NORD,QC,4T3N6
600305685,Certs Test 4,307 GREENWOOD AVE,SELKIRK,MB,1A1H8
600305695,Certs Test 4,112 RUE DE LA BAIE,GATINEAU,QC,8T3H7
600305705,Certs Test 4,3757 JINGLE POT RD,NANAIMO,BC,9R6X2
600305715,Certs Test 4,8112 81 AVE NW,EDMONTON,AB,6C0V9
600305725,Certs Test 4,722 PARK ROYAL N,WEST VANCOUVER,BC,7T1H9
600305735,Certs Test 4,12 PEPPERMINT CLOSE,BRAMPTON,ON,6P3C6
600305745,Certs Test 4,61 RUE DE LONGUEUIL,SAINT-BASILE-LE-GRAND,QC,3N1H3
600305755,Certs Test 4,9 BELVEDERE CRES,RICHMOND HILL,ON,4C8W3
600305765,Certs Test 4,125 COLUMBIA AVE,OTTAWA,ON,1V1Z2
600305775,Certs Test 4,96 METCALFE ST,WOODSTOCK,ON,4S3E8
600305785,Certs Test 4,24 INGOLD AVE,NEW HAMBURG,ON,3A2G8
600305795,Certs Test 4,391 LUXTON AVE W,WINNIPEG,MB,2W0M1
600305805,Certs Test 4,938 WEATHERDON AVE,WINNIPEG,MB,3M2C1
600305815,Certs Test 4,2394 RUE DE LA TRAVERSE,CHARNY,QC,6X2M9
600305825,Certs Test 4,7303 98 ST,PEACE RIVER,AB,8S1E2
600305835,Certs Test 4,8 BRISTOW CRES,SPRUCE GROVE,AB,7X2C9
600305845,Certs Test 4,2037 47 AVE SW,CALGARY,AB,2T2S7
600305855,Certs Test 4,6 SILVERSTREAM RD,BRAMPTON,ON,6Z4L2
600305865,Certs Test 4,12 REDSTART DR,CAMBRIDGE,ON,1T2K3
600305875,Certs Test 4,1093 ROUTE 595,CENTRAL WATERVILLE,NB,6G2K4
600305885,Certs Test 4,230 RUE COTE,MATANE,QC,4W1P2
600305895,Certs Test 4,6 LOTUS CRT,NORTH YORK,ON,2H1J7
600305905,Certs Test 4,96 WATERS BLVD,MILTON,ON,9T6K4
600305915,Certs Test 4,63 EZRA AVE,WATERLOO,ON,2L3A9
600305925,Certs Test 4,17 WHITE DR,GROVES POINT,NS,1Y2B3
600305935,Certs Test 4,14 SILVERADO TRAIL,WOODBRIDGE,ON,4H1V7
600305945,Certs Test 4,18013 96 AVE NW,EDMONTON,AB,5T2Z3
600305955,Certs Test 4,4336 BROAD OAKS PL,THUNDER BAY,ON,7J1A8
600305965,Certs Test 4,2139 BOUNDARY AVE,NANAIMO,BC,9S4P6
600305975,Certs Test 4,7 LYLE CLOSE,SYLVAN LAKE,AB,4S2M8
600305985,Certs Test 4,5725 48 ST,VEGREVILLE,AB,9C1G9
600305995,Certs Test 4,11217 MADDOCK AVE,OKANAGAN CENTRE,BC,4V2J7
600306010,Certs Test 4,10257 85A ST,GRANDE PRAIRIE,AB,8X0K2
600306020,Certs Test 4,35 BELLWOOD AVE,OTTAWA,ON,1S1S6
600306030,Certs Test 4,167 WISSLER RD,WATERLOO,ON,2K3Y6
600306040,Certs Test 4,513 HILL ST,LONDON,ON,6B1E8
600306050,Certs Test 4,4 RUE DE LA PLEIADE,SAINT-JEAN-SUR-RICHELIEU,QC,2W1N3
600306060,Certs Test 4,322 RUE JOFFRE,CHICOUTIMI,QC,7G3S3
600306070,Certs Test 4,47 RUE LE MOYNE O,LONGUEUIL,QC,4H1V4
600306080,Certs Test 4,46 EDENBRIDGE DR,ETOBICOKE,ON,9A3G1
600306090,Certs Test 4,105 PLACE DES DUNES,BOIS-DES-FILION,QC,6Z4V9
600306100,Certs Test 4,130 CH DU LAC-HOUSTON,VAL-DES-MONTS,QC,8N3A7
600306110,Certs Test 4,18453 66 AVE,SURREY,BC,3S8V6
600306120,Certs Test 4,1917 WEBSTER BLVD,INNISFIL,ON,9S2A6
600306130,Certs Test 4,7921 RUE THELMA,LASALLE,QC,8P1W9
600306140,Certs Test 4,605 RUE LE BRETON,LONGUEUIL,QC,4G1R9
600306150,Certs Test 4,58 RUE DUBOIS,VARENNES,QC,3X1J9
600306160,Certs Test 4,153 NEW ENGLAND RD,NEW ENGLAND SETTLEMENT,NB,4B3S6
600306170,Certs Test 4,24 BEAUMONT BAY,WINNIPEG,MB,3T0N1
600306180,Certs Test 4,20 EDGAR DR,BRANTFORD,ON,3R6X8
600306190,Certs Test 4,36 RUE MADAWASKA,SAINT-JACQUES,NB,7B1L4
600306200,Certs Test 4,7 LONSDALE AVE,ST CATHARINES,ON,2P1G8
600306210,Certs Test 4,1371 AV BOURGOGNE,CHAMBLY,QC,3L1Y4
600306220,Certs Test 4,76 WILLOW PARK ESTATE,LEDUC,AB,9E5R5
600306230,Certs Test 4,555 RAINBOW CRES,SHERWOOD PARK,AB,8A5M7
600306240,Certs Test 4,8426 WILLOUGHBY DR,NIAGARA FALLS,ON,2G6X5
600306250,Certs Test 4,29 YORK ST,BRACEBRIDGE,ON,1L1J5
600306260,Certs Test 4,86 CRAIG CRES,GEORGETOWN,ON,7G5L4
600306270,Certs Test 4,2051 BROTHERS RD,NANAIMO,BC,9X1R8
600306280,Certs Test 4,60 HEATH ST,RICHMOND HILL,ON,4B2B8
600306290,Certs Test 4,13850 TALBOT RD,OYAMA,BC,4V2C2
600306300,Certs Test 4,2210 QUAIL GROVE PL,NANAIMO,BC,9X1H8
600306310,Certs Test 4,437 3E AV,MONT-LAURIER,QC,9L3C1
600306320,Certs Test 4,1099 RUE DES MESANGES,LA BAIE,QC,7B4M3
600306330,Certs Test 4,40 RAVENSBOURNE CRES,ETOBICOKE,ON,9A2A8
600306340,Certs Test 4,473 RUE SHORT,SHERBROOKE,QC,1H2E6
600306350,Certs Test 4,2107 10A ST,COALDALE,AB,1M1C1
600306360,Certs Test 4,61 RUE ANDRE,SAINT-JEROME,QC,7Y1B8
600306370,Certs Test 4,8 WESLEYAN ST,GEORGETOWN,ON,7G2E1
600306380,Certs Test 4,2248 RUE DE PERSE,LAVAL,QC,7K1P3
600306390,Certs Test 4,48 MACEACHERN RD,UPPER GRAND MIRA,NS,1K1L7
600306400,Certs Test 4,104 RUE DE LONGUEUIL,CHATEAUGUAY,QC,6K4E8
600306410,Certs Test 4,233 RUE JOSEPH-LASSONDE,BOUCHERVILLE,QC,4B1C5
600306420,Certs Test 4,46 STATION ST,DOMINION,NS,1G1W2
600306430,Certs Test 4,270 KIPPENS RD,KIPPENS,NL,2N1B6
600306440,Certs Test 4,3064 AV HECTOR,MONTREAL,QC,1L3Y1
600306450,Certs Test 4,602 CATHEDRAL AVE,WINNIPEG,MB,2W0Y5
600306460,Certs Test 4,120 WILDLIFE PL,NANAIMO,BC,9R6H1
600306470,Certs Test 4,6827 RUE PIERRE-AUGER,MONTREAL,QC,1M2Z8
600306480,Certs Test 4,166 GLENSIDE DR,MAPLE,ON,6A2J3
600306490,Certs Test 4,4454 AV HARVARD,MONTREAL,QC,4A2X1
600306500,Certs Test 4,938 ESSA CRES,PICKERING,ON,1W2J1
600306510,Certs Test 4,20 CARMEL CRT,SHERWOOD PARK,AB,8A5A3
600306520,Certs Test 4,149 RUE DE CARIGNAN,VARENNES,QC,3X1A7
600306530,Certs Test 4,26 WILLIAM ST,ELMIRA,ON,3B1P4
600306540,Certs Test 4,1484 ALDERGROVE DR,OSHAWA,ON,1K2Y4
600306550,Certs Test 4,1648 ROUTE 124,SPRINGFIELD KINGS CO,NB,5T2J8
600306560,Certs Test 4,28 HIGHNESS CRT,WOODBRIDGE,ON,4L3S7
600306570,Certs Test 4,3 KEARNEY ST,GUELPH,ON,1E7H2
600306580,Certs Test 4,21568 TOWNSHIP ROAD 534,ARDROSSAN,AB,8E1J3
600306590,Certs Test 4,202 BURLINGTON ST,LONDON,ON,5Z3W2
600306600,Certs Test 4,9 HUDSON CRT,HAMILTON,ON,9C4A3
600306610,Certs Test 4,9712 97 AVE,FORT ST. JOHN,BC,1J1N4
600306620,Certs Test 4,7235 ROUTE 105,UPPER BRIGHTON,NB,7P2R9
600306630,Certs Test 4,2223 AV DU MONT-ROYAL E,MONTREAL,QC,2H1K5
600306640,Certs Test 4,161 COUNTRY RD,CORNER BROOK,NL,2H4M5
600306650,Certs Test 4,23 BERESFORD AVE,TORONTO,ON,6S3A9
600306660,Certs Test 4,82 TRACEY PARK DR,BELLEVILLE,ON,8P5E4
600306670,Certs Test 4,314 IONA ST,OTTAWA,ON,1Z7B9
600306680,Certs Test 4,1627 BEARD DR,MILTON,ON,9T5M9
600306690,Certs Test 4,132 RUE DU CURE-BRASSARD,NICOLET,QC,3T1C3
600306700,Certs Test 4,8 AMBER RD,CAMBRIDGE,ON,1R5K1
600306710,Certs Test 4,154 KEN TOM LANE,ALBERT BRIDGE,NS,1K3C1
600306720,Certs Test 4,1139 RUE ROY,CHICOUTIMI,QC,7J2W7
600306730,Certs Test 4,9 HICKORY ST,GUELPH,ON,1G2X2
600306740,Certs Test 4,55 DOONAREE DR,NORTH YORK,ON,3A1M5
600306750,Certs Test 4,593 BOUL SABOURIN,VAL-D'OR,QC,9P5V6
600306760,Certs Test 4,1372 ISLINGTON AVE,ETOBICOKE,ON,9A3K6
600306770,Certs Test 4,520 AMESS ST,NEW WESTMINSTER,BC,3L4A9
600306780,Certs Test 4,91 KIERSTEADVILLE RD,LONG POINT,NB,5N7Z4
600306790,Certs Test 4,6111 OAK MEADOWS DR,ORLEANS,ON,1C7G6
600306800,Certs Test 4,230 BAY BULLS RD,ST. JOHN'S,NL,1G1B2
600306810,Certs Test 4,30 HASTINGS BLVD,GUELPH,ON,1E4G4
600306820,Certs Test 4,97 STRATFORD RD,STRATFORD,PE,1B1Y5
600306830,Certs Test 4,77 D'ARCY ST,TORONTO,ON,5T1J9
600306840,Certs Test 4,113 RUE DES RONCES,SAINT-RAYMOND,QC,3L2Y2
600306850,Certs Test 4,2627 BRIDLEWOOD CRT,MISSISSAUGA,ON,5C4B9
600306860,Certs Test 4,21612 FORT RD NE,EDMONTON,AB,5Y6G8
600306870,Certs Test 4,98 ROSER CRES,BOWMANVILLE,ON,1C3N9
600306880,Certs Test 4,2156 SUNNYVALE DR,OAKVILLE,ON,6L1W7
600306890,Certs Test 4,30 ELM GROVE AVE,RICHMOND HILL,ON,4E2T1
600306900,Certs Test 4,45 ROANE AVE,GEORGETOWN,ON,7G5K5
600306910,Certs Test 4,86 SUNRISE CRES,DUNDAS,ON,9H3R9
600306920,Certs Test 4,12 LINDEN PL,MITCHELL,MB,5G2J3
600306930,Certs Test 4,5399 RUE DES PEUPLIERS,LA DORE,QC,8J1G3
600306940,Certs Test 4,303 BURNS ST E,WHITBY,ON,1N1J7
600306950,Certs Test 4,360 ALBRIGHT RD,BRAMPTON,ON,6X0H8
600306960,Certs Test 4,169 CH COCHRANE,GATINEAU,QC,9H2G9
600306970,Certs Test 4,409 PINEVIEW LANE,PICKERING,ON,1V6X4
600306980,Certs Test 4,606 MIRANDA CRT,PICKERING,ON,1V4T8
600306990,Certs Test 4,11271 AV ARTHUR-BUIES,MONTREAL-NORD,QC,1G4M4
600307005,Certs Test 4,26 ERINGATE DR,ETOBICOKE,ON,9C3Y7
600307015,Certs Test 4,2215 27 AVE SW,CALGARY,AB,2T1J1
600307025,Certs Test 4,108 RUE DES PLATEAUX,RIVIERE-DU-LOUP,QC,5R0B4
600307035,Certs Test 4,999 STONEBROOK RD,CAMBRIDGE,ON,1T1H5
600307045,Certs Test 4,706 RUE SHEARER,MONTREAL,QC,3K2J4
600307055,Certs Test 4,40 CROIS MERTON,HAMPSTEAD,QC,3X1L6
600307065,Certs Test 4,9 RAEBURN AVE,NORTH YORK,ON,3H1G6
600307075,Certs Test 4,1405 RENFREW DR NE,CALGARY,AB,2E5J3
600307085,Certs Test 4,3053 ALBERTA ST,VANCOUVER,BC,5Y3M1
600307095,Certs Test 4,5 BROOKGREENE CRES,RICHMOND HILL,ON,4C9W5
600307105,Certs Test 4,1305 25 ST SE,CALGARY,AB,2A0X3
600307115,Certs Test 4,52 WENTWORTH CRES SW,CALGARY,AB,3H0H1
600307125,Certs Test 4,67 RUE DES CHAMPS,POINTE-VERTE,NB,8J2V2
600307135,Certs Test 4,29 DONORA DR,EAST YORK,ON,4B1B6
600307145,Certs Test 4,21 RUE DE CHANTILLY,CANDIAC,QC,5R6C5
600307155,Certs Test 4,181 WINDSOR AVE,LONDON,ON,6C2A3
600307165,Certs Test 4,58 WALLACE DR,BARRIE,ON,4N7E1
600307175,Certs Test 4,7 BOLTONVIEW CRES,BOLTON,ON,7E2H1
600307185,Certs Test 4,22 JARVIS DR,PORT HOPE,ON,1A4J8
600307195,Certs Test 4,16 BENADAIR CRT,SCARBOROUGH,ON,1H1K5
600307205,Certs Test 4,47 COVEWOOD ST,NORTH YORK,ON,2M2Z2
600307215,Certs Test 4,24 MEADOWOOD CRES,SHERWOOD PARK,AB,8A0L7
600307225,Certs Test 4,258 RUE DE L'EVECHE O,RIMOUSKI,QC,5L4J1
600307235,Certs Test 4,5 JOHN ST,SALISBURY,NB,4J2H7
600307245,Certs Test 4,776 DANFORTH RD,SCARBOROUGH,ON,1K1G8
600307255,Certs Test 4,544 LOCKSTEAD RD,LOCKSTEAD,NB,9B1L9
600307265,Certs Test 4,146 PLACE DU MARQUIS,RIMOUSKI,QC,5M1C7
600307275,Certs Test 4,2338 KIRKHILL PL,OAKVILLE,ON,6M5G8
600307285,Certs Test 4,113 RUE DES TOURNESOLS,SAINT-RAYMOND,QC,3L2R8
600307295,Certs Test 4,108 RUE LARAMEE,CHATEAUGUAY,QC,6K1L4
600307305,Certs Test 4,751 28 ST SE,SALMON ARM,BC,1E2H3
600307315,Certs Test 4,363 MCKAY AVE,WINNIPEG,MB,2G0N5
600307325,Certs Test 4,1853 RUE SAINTE-FAMILLE,JONQUIERE,QC,7X4Y7
600307335,Certs Test 4,77 ROMY CRES,THOROLD,ON,2V4V2
600307345,Certs Test 4,5 CRESCENT CRT,LINDSAY,ON,9V3Y8
600307355,Certs Test 4,147 ACLAND RD,SALT SPRING ISLAND,BC,8K2N6
600307365,Certs Test 4,498 TIPPERTON CRES,OAKVILLE,ON,6L5C9
600307375,Certs Test 4,8337 ROUTE 3,MOORES MILLS,NB,5A1X9
600307385,Certs Test 4,4212 75 ST,CAMROSE,AB,4V3W5
600307395,Certs Test 4,3867 MAPLEWOOD DR,NANAIMO,BC,9T6B9
600307405,Certs Test 4,79 ALBERT LEWIS ST,MARKHAM,ON,6B0J9
600307415,Certs Test 4,5181 RUTLI MEADOWS PL,VICTORIA,BC,8Y1X7
600307425,Certs Test 4,876 8E RUE O,DEGELIS,QC,5T2A7
600307435,Certs Test 4,129 IRVING BLVD,BOUCTOUCHE,NB,4S3K2
600307445,Certs Test 4,450 ATLANTIC AVE,WINNIPEG,MB,2W0R8
600307455,Certs Test 4,113 KING ST E,BROCKVILLE,ON,6V1B7
600307465,Certs Test 4,6580 RUE CARTIER,MONTREAL,QC,2G2V7
600307475,Certs Test 4,14 RIVERSIDE DR,MIRAMICHI,NB,1N2Y4
600307485,Certs Test 4,206 CASTLEGREEN DR,THUNDER BAY,ON,7A7L8
600307495,Certs Test 4,6505 144 AVE NW,EDMONTON,AB,5A1L1
600307505,Certs Test 4,543 RED ROCK RD,SECOND FALLS,NB,5C1M8
600307515,Certs Test 4,31 RUE DES JARDINS,QUEBEC,QC,1R4L6
600307525,Certs Test 4,1978 QUEEN ELIZABETH DR,BATHURST,NB,2A4Y4
600307535,Certs Test 4,4731 FRONTENAC CRES,VAL THERESE,ON,3P1S4
600307545,Certs Test 4,17 MIDDLE COVE RD,MIDDLE COVE,NL,1K2A5
600307555,Certs Test 4,7435 BOUL NOTRE-DAME,LAVAL,QC,7X3J1
600307565,Certs Test 4,26002 102 AVE,MAPLE RIDGE,BC,2W1K1
600307575,Certs Test 4,3917 RIVERSIDE DR E,WINDSOR,ON,8Y1B1
600307585,Certs Test 4,18539 ST ANDREW'S RD,CALEDON EAST,ON,7K2E3
600307595,Certs Test 4,596 CH CHIASSON,CHIASSON OFFICE,NB,8S3G4
600307605,Certs Test 4,33 LANDSCAPES TRAIL,ANCASTER,ON,9K0A1
600307615,Certs Test 4,40 CHURCHILL TERR,NORTH PRESTON,NS,2Z1A2
600307625,Certs Test 4,78 CROYDON DR,ST CATHARINES,ON,2M1J8
600307635,Certs Test 4,1039 RUE LOUIS-RITCHIE,SAINT-JEROME,QC,5L1X6
600307645,Certs Test 4,224 MT ALLAN CIR SE,CALGARY,AB,2Z2S2
600307655,Certs Test 4,146 CH MERRILL,CHIBOUGAMAU,QC,8P1C5
600307665,Certs Test 4,7927 WEDGEWOOD ST,BURNABY,BC,5E2E7
600307675,Certs Test 4,8 BERNARD CRT,BEAUMONT,AB,4X0E7
600307685,Certs Test 4,56 MONCTON RD NE,CALGARY,AB,2E5R1
600307695,Certs Test 4,95 LENWOOD RD,NANAIMO,BC,9X1A5
600307705,Certs Test 4,34 MINES 1 SOUTH RD,HEBBS CROSS,NS,4V0Z8
600307715,Certs Test 4,182 TIMBERSTONE WAY,RED DEER,AB,4P0L6
600307725,Certs Test 4,284 RUE DE VALMONT,TERREBONNE,QC,6Y1N4
600307735,Certs Test 4,1920 PLACE DE LA BERGE,TERREBONNE,QC,7M1X5
600307745,Certs Test 4,658 RUE DU ROUSSILLON,LONGUEUIL,QC,4H3R7
600307755,Certs Test 4,5108 ROUTE 106,SACKVILLE ROAD,NB,4K3C3
600307765,Certs Test 4,5 DONNALYN DR,NORTH YORK,ON,2R2R7
600307775,Certs Test 4,13 DEANE ST,LONDON,ON,6C3L1
600307785,Certs Test 4,3067 MISSION HILL DR,MISSISSAUGA,ON,5M0B8
600307795,Certs Test 4,2056 ROUTE 102,GAGETOWN,NB,5M1L1
600307805,Certs Test 4,8 THIRD LANE,WASAGA BEACH,ON,9Z2G2
600307815,Certs Test 4,75 FLEET ST,MONCTON,NB,1C1S3
600307825,Certs Test 4,4471 RUE DE BREBEUF,MONTREAL,QC,2J3K8
600307835,Certs Test 4,71 ANDREW ST,CAMPBELLTON,NB,3N2B8
600307845,Certs Test 4,331 KENSINGTON ST,WINNIPEG,MB,3J1J6
600307855,Certs Test 4,6 AV ARNOLD,ROXBORO,QC,8Y2Z7
600307865,Certs Test 4,13 PEYTON LANE,TORONTO,ON,4M3R3
